Time,Queue Length,Mean Response Time,Mean Waiting Time,Utilization,Reliability
490,64,55.581992,53.792067,0.989389,1.000000
491,64,55.581992,53.792067,0.989410,1.000000
492,66,54.869402,53.102425,0.989432,1.000000
493,68,54.174852,52.430242,0.989453,1.000000
494,68,54.174852,52.430242,0.989475,1.000000
495,68,54.174852,52.430242,0.989496,1.000000
496,68,54.174852,52.430242,0.989517,1.000000
497,68,54.174852,52.430242,0.989538,1.000000
498,67,55.543582,53.768648,0.989559,1.000000
499,67,55.543582,53.768648,0.989580,1.000000
500,68,55.194252,53.430480,0.989601,1.000000
501,68,55.194252,53.430480,0.989622,1.000000
502,69,54.849288,53.096540,0.989642,1.000000
503,69,54.849288,53.096540,0.989663,1.000000
504,69,54.849288,53.096540,0.989683,1.000000
505,69,54.849288,53.096540,0.989704,1.000000
506,71,54.172136,52.441027,0.989724,1.000000
507,71,54.172136,52.441027,0.989744,1.000000
508,70,56.510919,54.654758,0.989765,1.000000
509,70,56.510919,54.654758,0.989785,1.000000
510,69,57.747214,55.860018,0.989805,1.000000
511,68,58.957512,57.052332,0.989825,1.000000
512,68,58.957512,57.052332,0.989845,1.000000
513,69,58.598015,56.704452,0.989864,1.000000
514,69,58.598015,56.704452,0.989884,1.000000
515,69,58.598015,56.704452,0.989904,1.000000
516,70,58.242875,56.360789,0.989923,1.000000
517,69,59.461045,57.565478,0.989943,1.000000
518,69,60.304737,58.418074,0.989962,1.000000
519,69,60.304737,58.418074,0.989982,1.000000
520,69,60.304737,58.418074,0.990001,1.000000
521,69,60.304737,58.418074,0.990020,1.000000
522,69,60.304737,58.418074,0.990039,1.000000
523,70,59.943630,58.068265,0.990058,1.000000
524,69,61.169723,59.286036,0.990077,1.000000
525,67,63.565399,61.554611,0.990096,1.000000
526,67,63.565399,61.554611,0.990115,1.000000
527,67,63.565399,61.554611,0.990134,1.000000
528,66,64.682311,62.667403,0.990152,1.000000
529,66,64.682311,62.667403,0.990171,1.000000
530,67,64.297298,62.294382,0.990189,1.000000
531,67,64.297298,62.294382,0.990208,1.000000
532,68,63.916840,61.925776,0.990226,1.000000
533,68,63.916840,61.925776,0.990245,1.000000
534,68,63.916840,61.925776,0.990263,1.000000
535,68,63.916840,61.925776,0.990281,1.000000
536,69,63.540859,61.561507,0.990299,1.000000
537,70,63.169275,61.201498,0.990317,1.000000
538,70,63.169275,61.201498,0.990335,1.000000
539,70,63.945392,61.987168,0.990353,1.000000
540,70,63.945392,61.987168,0.990371,1.000000
541,70,63.945392,61.987168,0.990389,1.000000
542,70,63.945392,61.987168,0.990407,1.000000
543,70,63.945392,61.987168,0.990424,1.000000
544,70,63.945392,61.987168,0.990442,1.000000
545,70,63.945392,61.987168,0.990459,1.000000
546,70,64.752718,62.805228,0.990477,1.000000
547,70,64.752718,62.805228,0.990494,1.000000
548,70,64.752718,62.805228,0.990512,1.000000
549,70,64.752718,62.805228,0.990529,1.000000
550,70,64.752718,62.805228,0.990546,1.000000
551,71,64.380576,62.444278,0.990563,1.000000
552,69,66.786486,64.843337,0.990580,1.000000
553,70,66.404849,64.472803,0.990598,1.000000
554,70,66.404849,64.472803,0.990614,1.000000
555,70,66.404849,64.472803,0.990631,1.000000
556,71,66.027549,64.106481,0.990648,1.000000
557,71,66.027549,64.106481,0.990665,1.000000
558,71,66.027549,64.106481,0.990682,1.000000
559,71,66.027549,64.106481,0.990698,1.000000
560,71,66.027549,64.106481,0.990715,1.000000
561,72,65.654512,63.744297,0.990732,1.000000
562,73,65.285666,63.386183,0.990748,1.000000
563,73,65.285666,63.386183,0.990765,1.000000
564,73,66.149689,64.248746,0.990781,1.000000
