,L,Mean n-L
1083,1083,92.66190179283275
1084,1084,92.66342301087579
1085,1085,92.66494429111724
1086,1086,92.66646052254978
1087,1087,92.66797170486373
1088,1088,92.66947783774943
1089,1089,92.67097892089714
1090,1090,92.6724800654263
1091,1091,92.67398638287432
1092,1092,92.67548765028216
1093,1093,92.67697875559736
1094,1094,92.67846992189098
1095,1095,92.67996114916676
1096,1096,92.68144732537216
1097,1097,92.68293356235814
1098,1098,92.68441986012841
1099,1099,92.68590110631685
1100,1100,92.68738241308793
1101,1101,92.6888637804454
1102,1102,92.69034009570943
1103,1103,92.69182158414627
1104,1104,92.69329802028795
1105,1105,92.69477451682177
1106,1106,92.69624084754776
1107,1107,92.69770723825496
1108,1108,92.69917368894707
1109,1109,92.70063508621219
1110,1110,92.70209654326038
1111,1111,92.70355806009532
1112,1112,92.70502986417935
1113,1113,92.70650172847587
1114,1114,92.70796853905003
1115,1115,92.70943540963486
1116,1116,92.71089722608625
1117,1117,92.71235910234643
1118,1118,92.71383638149013
1119,1119,92.71530860661606
1120,1120,92.71678089198036
1121,1121,92.71824300824485
1122,1122,92.7197051843365
1123,1123,92.72116742025902
1124,1124,92.72262971601604
1125,1125,92.72409207161125
1126,1126,92.72556471743667
1127,1127,92.72703230822745
1128,1128,92.72849995907677
1129,1129,92.72996766998834
1130,1130,92.73143544096583
1131,1131,92.73290838773046
1132,1132,92.73438139477777
1133,1133,92.73585446211145
1134,1134,92.737317357672
1135,1135,92.73878031310754
1136,1136,92.74024332842174
1137,1137,92.74171151996399
1138,1138,92.74317977160166
